1652625,94927,64665,62123,61988,61132,61898,61605,61155,61537,60840,61290,60795,63653,61852,
88560,64822,65340,66667,64732,63517,66037,64778,64237,62708,66353,63180,63225,62730,73440,
105097,95243,90090,83272,82710,81225,83498,84150,81112,80100,84915,81495,81135,86400,85523,
120600,98280,96547,93105,93173,96998,91575,93645,95467,94995,112568,96390,96660,95513,94860,
140625,120263,115583,120060,118215,116617,117000,116978,118822,117180,115785,114412,113963,115538,128543,
177997,154530,154553,151897,153720,150435,149647,150548,146812,147870,149287,150255,149265,173813,153495,
213143,215437,213817,213143,204772,205538,209160,200790,203085,220410,206280,204975,209048,204210,205290,
314460,316440,318578,324113,318353,315990,315428,299880,301860,309645,318150,301523,303413,304853,301995,
453218,502942,484560,501997,481905,483795,485370,477067,475043,478778,501502,498532,490882,500557,489555,
733410,762683,764730,766395,757035,754560,773662,766147,771502,754560,751275,772605,751815,760095,767160,
1469880,1578802,1609987,1557563,1571310,1560780,1548338,1580152,1611270,1562692,1596803,1575945,1573178,1540282,1549552,
2645572,2746170,2774385,2801183,2744302,2719665,2745022,2736495,2750400,2765407,2749702,2808473,2739690,2726122,2719125,
5615865,5659695,5682622,5630805,5786888,5629028,5653170,5646173,5608485,6178163,6404558,6715912,6200527,6119145,6031485,
9353138,11241990,11121232,11030400,11211075,11047905,11180227,11027115,11353343,11107688,11064577,11028488,11066693,11014313,11088788,
19189867,22184258,22077427,22115925,21907305,21999578,22247595,22089870,22687223,22289535,22031527,22035218,21961305,22011075,22193685,
31904617,41488087,40746983,41927715,42043005,41453370,41352413,42773850,41676975,41640660,41767200,40836420,42408967,41648827,41530725,
70508205,78683895,80482928,79770443,80449177,79337925,79657717,81547853,78983910,80390948,79036515,78832035,80403255,80147407,79219215,
137881462,155902725,156365123,156804413,155450205,157031730,155921332,155883532,156773677,155492258,149826532,145469768,155666002,155928757,158180670,
263700945,281193930,287284005,283537215,282216803,286824083,285598260,284897048,284478705,281781022,284580585,284212125,283420282,288586868,288288607,
521671208,533649668,528940125,528819345,527135782,526825192,525281197,526938930,529856483,527048235,526234747,528874132,526870733,524452973,520902067,
1008740858,993645968,992054925,981385133,995009625,988168703,988318823,985662810,985233600,992844945,989049533,991696095,986365148,989627872,986828242,
1738630822,1719206055,1739479927,1728776115,1728448942,1721351093,1720298790,1718144437,1718058645,1723047772,1736326800,1724460525,1717956472,1722044768,1714004775,
3681193140,3645865620,3653697465,3682024515,3654990000,3649397918,3646058985,3640439408,3655321380,3645695385,3650772150,3674849670,3669938910,3647021738,3643188165,
7221000037,7223672002,7220960393,7240158832,7276941045,7228432665,7230091252,7209383310,7217570407,7208701313,7240766152,7237655775,7258991670,7234954583,7218311895,
14076451643,14054003055,14063052375,14073171413,14092390215,14246496023,14431925768,14483728845,14438309535,14391863483,14404558365,14403048030,14406961343,14485020682,14433649245,
