3368273,112500,86400,77738,77085,74700,76613,77040,75397,77760,76590,102127,76275,75533,74992,
108697,82418,78075,80145,90967,85410,85928,90697,79695,78277,80393,84825,99000,84960,80932,
145058,122805,121882,118530,133200,119880,116662,112995,114367,116078,118552,115695,116528,115245,111532,
168862,144562,145980,147892,146070,145642,148590,149827,146790,146543,141052,149197,145193,148297,148140,
217237,191812,195705,184545,612248,195075,189832,188168,188100,189360,189765,190147,193725,207810,191250,
300037,264083,260190,255308,254520,253665,250425,272903,268515,251415,249637,252045,257580,257490,252180,
398498,374400,364455,342225,337163,331852,352800,336195,331897,336195,335903,335745,333540,342270,339007,
464422,479565,914265,465165,461543,463117,459765,447885,420075,426578,423293,426015,440167,418883,427230,
659655,724702,700673,695160,733275,701955,707152,721665,705802,706657,698108,703508,715545,688163,712327,
1041435,1113818,1070370,1107855,1104300,978413,1172385,1182308,1253070,1281060,1275885,1301760,1281398,1278023,1266795,
1966635,1872068,1892947,1901250,1919880,1908563,1948478,1876950,1895085,1889212,1904197,1903613,1912432,1912748,1918305,
3601170,3730118,3654878,3722602,3700102,3701430,3696210,3809902,3707122,3727192,3974310,3540285,3536348,3557295,3529170,
4864568,5193967,4948830,5097802,5010908,4933012,4977563,4942935,4928490,5019188,4949955,5127412,4979610,4940685,4963725,
9609660,9990045,10086997,9936000,10345275,10078020,9974970,10007617,10148985,9976455,10064160,10106033,10300163,11631263,11355525,
20062620,25414650,24402847,24777000,24712942,25218113,24411353,24461618,25004858,24443663,24595245,24741270,24707722,24969623,24904800,
32513287,43041848,43193273,46530315,45982057,45191790,42513705,45570960,45941873,45751927,46498725,43519995,45997898,42998018,45234045,
73018530,80812688,84433883,82410908,82664775,83962868,81931072,83494417,81435218,84777323,81995445,85296307,55617278,80747573,78857910,
125604360,158400945,149303790,156930592,148485937,155572155,148850145,155729993,149428980,154906583,148729950,156951158,149320958,154859153,147751448,
251037675,275274337,275227200,275952307,279082350,280281465,277536645,278315100,277587472,279567382,278012385,279280395,280131952,279469215,276954053,
480196328,550585440,552149843,550416038,552383595,554309438,555528712,544084560,545084640,546676763,548147520,556095128,549795668,557775225,555004867,
967847693,978499350,973276268,969876360,972904770,979029720,982914502,985623660,975696952,975204315,974304112,974947950,949317187,963385582,972362137,
1591601040,1579508055,1578502192,1574380373,1568278237,1574253675,1579183042,1589211653,1586067345,1577564032,1575351450,1569219008,1564469167,1581522075,1588902683,
3313243148,3259461487,3230527522,3228342300,3235655588,3232966028,3234398648,3239740732,3252115440,3259183163,3234357450,3246674873,3227114588,3231661905,3223165028,
6342711322,6255514958,6293684273,6227212568,6245326170,6203760345,6221785388,6211104390,6240709485,6266000633,6295718723,6249606322,6227243775,6213375607,6213524962,
12063760065,12130984665,12162885997,12162582202,12118191367,12050579407,12031048958,12055684770,12058561530,12124196978,12163976145,12207166290,12078368933,12071582595,12035633333,
