1755860,1024520,931780,879020,935840,918280,912280,867440,939640,888060,895540,844360,895780,857000,851420,
903440,886380,876100,843720,891640,858520,862540,841220,848980,859220,835940,920760,867020,866820,861840,
963440,920960,1051860,959480,985720,937740,1046980,917660,1046980,920440,1037060,906460,947820,908940,963920,
983820,967420,953700,987500,900280,937500,948620,944340,901240,901260,953460,912180,935740,908160,913360,
995380,989780,974660,978580,962840,972020,957560,987200,944800,968500,955540,1023840,981280,971580,964900,
1078720,1090320,1021340,1062220,1064420,1027620,1040600,1050860,1057060,1073700,1029940,1098380,1075880,1040560,1084840,
1153940,1171720,1152220,1278140,1129340,1173000,1164220,1164000,1164200,1156140,1169500,1143340,1142260,1171300,1145620,
1363200,1401380,1334200,1355840,1427620,1331880,1344900,1387440,1311900,1374340,1417820,1356520,1365300,1345940,1368700,
1721120,1761540,1738880,1741240,1821120,1816340,1760900,1717160,1759840,1714040,1710940,1728780,1709620,1807860,1758120,
2889620,2654540,2701940,2695680,2688020,2810800,2696760,2725700,2752120,2693000,2792800,2719600,2698680,2698860,2744720,
3715720,3976020,3909480,3917700,3905160,3956460,3928560,3965320,3997140,3981180,3969060,3967720,3953500,3981540,3971160,
5437600,5988680,6384560,6416400,6826400,6015460,6009920,6042380,6035580,6053660,6025220,6031820,6014340,6016980,6009680,
10238060,11665640,11348260,11134940,11105820,11134980,11133100,11069860,11087420,11124820,11179860,11148600,11127840,11079680,11106460,
19116880,16354040,23141340,23188520,23101360,23106840,23101740,23100000,23124100,23210020,23557000,23689820,23803180,23898360,23827720,
38782500,44918520,44844880,44952180,44897920,45112880,46467280,46575780,46469640,46508460,46575420,46547000,46445440,46421620,46499840,
77558440,88889440,89530860,89837700,89985460,90040920,90659800,90397160,90636020,90643460,90757700,90941020,90904180,91069260,91058640,
155709920,171486780,173938760,174717100,176172060,176323160,177113740,124521940,177732620,180554040,180936380,182629780,183858980,104865520,154366260,
259484680,274847580,283956680,287963260,288653120,290409320,290181280,291355060,290823020,291400820,291558500,291916980,291449040,291637240,291148700,
487177240,453328940,451809820,450381220,451290860,450318900,451817280,450570380,451908560,450215600,451786580,450299160,452032060,450334040,451738700,
796603640,775388920,774542080,775284560,774855820,774360240,774649200,775545520,775322660,774920480,775196020,774131020,774369900,774514600,774419020,
1566238640,1527556980,1528265380,1543549100,1527739580,1526095060,1526361000,1530997220,1538076340,1536660300,1536160760,1534856540,1535017500,1536455220,1536577960,
3048340380,3046575180,3049822720,3047872900,3049191200,3045472640,3046825940,3048618640,3046220080,3047669540,3045781460,3046894320,3048840640,3047027420,3049103720,
6037762320,6039974660,6038145900,6034221020,6036082980,6036515800,6037600560,6034097600,6030610020,6039758520,6040475840,6033687000,6036981480,6034174500,6037918400,
