1958107,1724130,1561770,1528898,1588005,1573380,1487137,1567890,1591313,1546583,1576305,1595228,1376910,1480072,1946902,
2631645,1578217,1512023,1495013,1511190,1487497,1535917,1546155,1465875,1497938,1574933,1511595,1463040,1540013,1527817,
1539855,1538933,1536953,1461555,1532768,1542375,1424700,1526040,1590570,1406272,1550970,1514993,1451745,1537740,1511415,
1489208,1578870,1577565,1498365,1534522,1526062,1528650,1475258,1530675,1587532,1477035,1492740,1559543,1499422,1596217,
2593822,1851413,2096618,2020230,2148727,2003805,2044395,2014110,2000925,1992173,1702755,2086717,2073285,2051550,2066625,
4625392,2830657,2805165,2857680,2606738,2606062,2626380,2581515,2576677,2864610,2678647,2965387,2551883,2670592,2666115,
7136887,3905482,4287375,4516042,4365247,4160115,4340835,4551458,4341488,4190062,4223745,4223610,4434885,4390988,4312552,
9469732,8040735,7656682,7380562,7516867,7708432,7598543,7431390,7238948,7382362,7749967,7399620,8001585,8186828,7142040,
18448313,13743180,13865602,14039550,13809195,13742527,13719060,13667063,13752135,14098972,13756388,13588312,13662675,13623772,13858672,
47144858,53275162,53601908,40438642,54240503,56934360,53873190,52688925,56424532,44317463,41733585,55178843,43408687,58092300,56207520,
179977230,110153250,104619915,77514120,98209395,84791317,70390260,75642480,103418010,73715040,78163312,92202143,80122455,66924855,73649610,
54459675,99452632,74282400,104198423,52899953,82384380,101423588,79337025,92409052,56368958,69184282,81592537,92110590,63126900,63545468,
52694213,68979420,73154250,62189797,60761812,43886452,62199450,60328485,51699375,52874955,71438873,60056167,49191030,52074450,44026267,
45836888,61192417,63299880,62598308,78178703,60410115,69901763,57937815,75217815,54234742,52912058,77887237,42464363,60468570,80108730,
77123498,89553082,72249862,55303110,61422413,86786932,55899900,75249360,86933970,82366650,72431100,65174513,65782890,82792913,67109737,
69337485,72483907,58635473,82519245,70426575,62157915,78288322,53366333,58762823,64707997,85354605,72927405,68687303,61858868,69393397,
236665957,51841890,86214015,74046847,54097133,77629252,71754953,67000748,48287903,59669843,65142788,80488845,63431775,67490865,77172615,
98675415,66671887,80888085,92506500,69122070,66692318,59704987,64928587,62063910,73909440,78667740,70982145,83613465,66239325,60513367,
596068403,113011560,121395285,117488093,94239855,89398688,95627408,86263223,84252173,98677125,87312825,89830080,68614875,106665097,90202433,
1100210130,133509263,110295203,108577913,108725287,119914605,116426790,99090608,116235877,115260345,121196700,120199432,132637635,116746335,124546927,
181428120,162813982,194607473,152771850,163378620,150246382,169024793,169895543,132212115,135749115,105511230,97053570,95773972,133227180,135065633,
241673760,268519072,255796110,249961635,250737075,239402880,261037800,235396305,244481872,248692950,205623630,172682865,271712430,244064543,302453775,
7938406935,525474405,522487260,509715360,530600175,494135730,508965660,513619290,489723075,554400157,524927993,519639885,498752437,498494857,470378475,
892194840,922314825,853215322,738168772,869395140,888290077,859226782,832968023,637891335,685964655,794682652,872776778,831000217,752933430,889061288,
30621697493,1858959877,1591329847,1667844427,1665883890,1689896160,1734553418,1678349430,1714519800,1595083860,1544872298,1569196080,1534453695,1646990235,1477915875,
60067686983,3461054018,3096227407,3184502153,3367308645,3241846867,3085570058,3117515220,2657625480,3039001267,2735714655,2718749002,2930108085,2919774870,2685967110,
121289344200,7169559997,5740051095,5243001862,5477910075,6268349903,6080223150,5732536635,4809940200,4777843972,4851355005,5013230243,5054781780,4974000120,5006981993,
123835489808,48590190517,74714851732,10603469385,10040096475,10442412382,9781192642,9815334300,9895357575,11515432635,9803419830,9417878842,10154416635,9684067253,10766107912,
