1734885,1898033,1649948,1435747,1673100,1520820,1465470,1492335,1352655,1506690,1473165,1401660,1461037,1264005,1394032,
2502090,1516027,1353577,1411807,1422112,1426905,1425622,1346445,1403775,1417567,1315305,1402065,1317915,1436490,1402560,
1367280,1424362,1712228,1711800,1861852,1488488,1816650,1262430,1411965,1633905,1345792,1593473,1615297,1349887,1502280,
1474110,1352768,1360260,1408725,1383818,1463513,1290285,1611405,1388902,1346243,1424610,1364490,1380510,1354950,1327950,
2265593,1908562,1821847,1623668,1667047,1641105,1639035,1774125,1904355,1901610,1614577,1684463,1982498,1719810,1588725,
4326728,2657723,2548575,2725380,2635875,2764148,2662268,2478870,2485552,2297385,2728057,2674845,2489648,2537775,2587657,
6093900,4205205,4070430,4165785,3834135,4403205,4076527,4327650,4394858,4304385,4253197,4444020,4933350,4721670,4818037,
9552757,7919235,7240950,7989502,7461990,7673175,7416697,7220970,7662172,7335877,7260435,7061805,7589362,7069252,7760408,
18627638,13328550,14007173,13458128,12855285,13517820,11643435,13030695,12276967,13614547,12695017,12235387,12517222,12945892,12299265,
43313175,51588787,51361470,25201980,23281830,22975695,36509197,39286395,52060612,37420875,22539780,22371728,25241603,25165530,22267508,
29772135,36639743,44525587,34948530,23482373,37285087,26151098,23158327,27031882,23417887,22500923,36417937,35303580,22692735,25585763,
25687800,25979265,23489280,23299133,22466295,22241093,23373787,22239675,22747185,26551530,23540018,22834778,22385633,22220235,22648455,
38472300,26316450,22847108,20439787,22390807,36859680,50372955,50350950,37473547,52413885,33748133,14523705,23455215,21718485,22642538,
22604085,22492778,27367290,23050777,23492385,24221970,23742180,23223217,23068643,24348533,22895122,22570178,22314397,22894222,25264463,
61418070,30947602,22326592,24137348,23757278,23900198,15360435,23978430,24377355,24299235,21468690,24855187,23452335,23592667,23087565,
25045380,26019338,20133270,24755963,16431548,24508552,24370650,25449368,25307482,25754580,25026097,25239285,24889545,24852937,24806070,
272510415,22043205,46742828,28565347,27344070,28138320,27437063,26810640,18209115,27253890,28069222,31542705,26847000,27320760,27077468,
32463000,32656005,34066530,33386400,28172835,32812852,32743395,30489435,32480055,33177465,32939618,33782693,33650438,34070422,33689835,
517411260,74000520,70987973,44019292,44899740,41176642,45271440,45790560,44830935,45196830,48831390,49625753,50826937,50110425,60363225,
923605200,131101043,86938718,73509683,70828133,71557560,70608398,69387007,68848605,69698880,69857618,68026343,68368162,69011955,70192665,
115992113,116861535,115717365,115890053,114258217,115119585,114945997,115999357,115764030,116079277,114119955,116697105,114992662,115478010,116076937,
213194048,215006850,213206693,213138698,212426258,214796205,214830067,216150817,217115685,214863772,215728875,214852073,213766132,216040837,215020845,
7983804555,464722988,395486528,398034900,399287070,395676090,399348180,404077950,400390582,390478185,398083995,400045568,399264683,399380063,400656983,
784856025,784735155,772600973,778053015,784408680,776838510,772224638,779112472,775986840,785479073,768260610,776878200,786929445,779885865,768997327,
30216256178,1732788607,1532026732,1535807070,1539804690,1545948788,1552817070,1541965477,1540374862,1542730320,1537790850,1540113390,1544110493,1542334275,1541333520,
60126877395,3308060655,3097627830,3097624725,3098066422,3093954278,3089751412,3084372045,3081139222,3064505782,3065469727,3075610522,3071355637,3067484108,3063603645,
79771047165,30940829752,7547343547,6340548173,6177196125,6168510383,6165085095,6161531692,6182435025,6171305625,6154805228,6174355185,6169682610,6159297937,6212480062,
124365210930,53658934695,66550276868,12569370660,12162164152,12141517410,12137360377,12138524955,12141361395,12151542960,12142163183,12137005485,12133354883,12146536935,12141232785,
